cell_type,incoming_raw,outgoing_raw,total_raw,incoming_norm,outgoing_norm,total_norm,lr_pair,time_key,ligand_token,receptor_token,ligand_missing_subunits,receptor_missing_subunits
Choroid plexus,0.0669415270829717,0.1536942544531989,0.2206357815361706,1.0,1.0,1.0,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Epidermis,0.0649779086930983,0.0891966561583049,0.1541745648514032,0.9706555112946486,0.5803512725680059,0.6987393431702049,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Meninges,0.064774692934408,0.0116957352461312,0.0764704281805392,0.9676186368355424,0.0760974135808875,0.3465158898607513,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Cavity,0.0316123282085076,0.0134692835457584,0.045081611754266,0.4720372946763478,0.0876368709661812,0.2042341814391201,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Cartilage primordium,0.0166987133145652,0.0110985446420411,0.0277972579566063,0.2491669008828417,0.0722118382468271,0.1258862961956207,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Jaw and tooth,0.0152072711937779,0.0121418571006535,0.0273491282944315,0.2268786565407472,0.0790000715631877,0.1238549786377123,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Brain,0.0239876401307232,0.0006756891630002,0.0246633292937235,0.3580932746293581,0.0043963202489523,0.1116805766115822,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Muscle,0.0107760916587227,0.0066154615117043,0.0173915531704271,0.1606587135577334,0.0430429981604733,0.0787184949570406,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Connective tissue,0.0088310125265389,0.0048016003847478,0.0136326129112867,0.131591277176134,0.0312412484242212,0.0616796734015495,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Mucosal epithelium,0.0046530307877085,0.0078820894553115,0.0125351202430201,0.0691551446879993,0.0512842167285551,0.0567048718766824,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Mesothelium,0.0041524392585294,0.0053046855698081,0.0094571248283376,0.061674260138462,0.0345145339927036,0.042752690941679,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Urogenital ridge,0.0027622645945168,0.0027956406695932,0.00555790526411,0.0408993657206038,0.0181896238056483,0.0250780002628368,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Dorsal root ganglion,0.0031861030369577,0.0020041402044502,0.0051902432414079,0.0472332452825605,0.0130397861102904,0.0234114327821967,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Mesentery,0.0022484972616551,0.0026198755935147,0.0048683728551699,0.0332215807833236,0.0170460216800914,0.0219524332512061,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Lung primordium,0.0023895083287383,0.0024010822407063,0.0047905905694447,0.0353288627718669,0.0156224593381758,0.0215998555576855,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
GI tract,0.0024008308634597,0.0018432215457151,0.0042440524091749,0.0354980677426295,0.0119927810722189,0.0191224641802992,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Heart,0.0014172379188191,0.0013621910968166,0.0027794290156358,0.0207991668749653,0.0088629929704463,0.0124835034817811,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Blood vessel,0.0024314270871981,0.0,0.0024314270871981,0.0359553004445369,0.0,0.0109060528305775,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Liver,9.24918022820095e-05,9.408033636429625e-05,0.0001865721386463,0.001002042517881,0.0006121265671186,0.0007303968612317,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Kidney,7.63309988326631e-05,0.0,7.63309988326631e-05,0.0007605340268552,0.0,0.0002306871079864,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Ovary,5.330219887980003e-05,0.0,5.330219887980003e-05,0.0004163895822933,0.0,0.0001263003431051,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
Sympathetic nerve,2.543903692960511e-05,0.0,2.543903692960511e-05,0.0,0.0,0.0,Wnt3a_Fzd7_Lrp6,E12.5,Wnt3a,Fzd7_Lrp6,,
